% Model:              ML端口边界_高斯光极限精度比较1.32.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 6 2024, 09:23
% Dimension:          1
% Nodes:              1521
% Expressions:        1
% Description:        线结果图
% x 坐标 (m);real(ewfd.Ez)
-5.844078947368417E-8;-7.056170569452273
-5.8192105263157857E-8;-6.777689480820723
-5.794342105263154E-8;-6.47633670460859
-5.7694736842105224E-8;-6.152112240815874
-5.7446052631578914E-8;-5.803564905267358
-5.719736842105261E-8;-5.4292008568944095
-5.69486842105263E-8;-5.029020095697025
-5.67E-8;-4.603022621675205
-5.645131578947368E-8;-4.149716558501814
-5.6202631578947365E-8;-3.6675850151028615
-5.595394736842105E-8;-3.156627991478346
-5.570526315789473E-8;-2.6168454876282685
-5.5456578947368416E-8;-2.0467214389944473
-5.52078947368421E-8;-1.444734201615709
-5.4959210526315784E-8;-0.8108837754920547
-5.471052631578947E-8;-0.14517016062348434
-5.446184210526315E-8;0.5539286974703419
-5.4213157894736835E-8;1.2879194938207899
-5.396447368421052E-8;2.0568022284278595
-5.37157894736842E-8;2.860576901291551
-5.3467105263157885E-8;3.700751935526199
-5.321842105263157E-8;4.57879828803926
-5.296973684210525E-8;5.494715958830735
-5.2721052631578936E-8;6.4485049479006245
-5.247236842105262E-8;7.4416393175844355
-5.2223684210526304E-8;8.47553275507255
-5.197499999999999E-8;9.550185260364968
-5.172631578947367E-8;10.665596833461688
-5.1477631578947355E-8;11.823185681543416
-5.122894736842104E-8;13.024286308413222
-5.098026315789472E-8;14.268898714071103
-5.0731578947368405E-8;15.557022898517063
-5.048289473684209E-8;16.889999313490613
-5.023421052631578E-8;18.269061352065147
-4.998552631578946E-8;19.694209014240666
-4.973684210526315E-8;21.16544230001717
-4.948815789473684E-8;22.6840019670271
-4.9239473684210534E-8;24.250998730988204
-4.899078947368423E-8;25.866432591900484
-4.8742105263157914E-8;27.53030354976394
-4.84934210526316E-8;29.24373106484867
-4.824473684210527E-8;31.007682351114298
-4.799605263157894E-8;32.82215740856083
-4.774736842105262E-8;34.687156237188255
-4.7498684210526306E-8;36.60365611319079
-4.725E-8;38.5724610563695
-4.70013157894737E-8;40.593571066724394
-4.6752631578947383E-8;42.66698614425546
-4.650394736842107E-8;44.79352160061839
-4.625526315789474E-8;46.97380009686635
-4.600657894736841E-8;49.20782163299933
-4.575789473684209E-8;51.49558620901733
-4.5509210526315775E-8;53.83772889402417
-4.5260526315789465E-8;56.234674747472496
