% Model:              ML端口边界_高斯光极限精度比较1.32.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 6 2024, 09:23
% Dimension:          1
% Nodes:              1521
% Expressions:        1
% Description:        线结果图
% x 坐标 (m);imag(ewfd.Ez)
-7.908157894736842E-8;0.7646500621006648
-7.88328947368421E-8;0.7575475199948625
-7.858421052631579E-8;0.7483640608397807
-7.833552631578947E-8;0.7368408346364301
-7.808684210526315E-8;0.7226814653148149
-7.783815789473684E-8;0.7058859528749352
-7.758947368421052E-8;0.6864542973167909
-7.73407894736842E-8;0.664092413341527
-7.70921052631579E-8;0.6384684622633282
-7.68434210526316E-8;0.6095824440821944
-7.659473684210528E-8;0.5774343587981258
-7.634605263157896E-8;0.5416946384508329
-7.609736842105263E-8;0.5019965751333204
-7.58486842105263E-8;0.45834016884558837
-7.559999999999999E-8;0.41072541958763675
-7.535131578947367E-8;0.3587878139494001
-7.510263157894737E-8;0.3021272571655135
-7.485394736842107E-8;0.24074374923597663
